numbre CCs detected (background including): 711
Component_1 =>Cercle 5660.19 | diode H 5696.76 | diode V 5113.87 | Rectangle H 5641.97 | Rectangle V 344.986 | Symbole 1 5701.25 | Symbole 10 5692 | Symbole 11 5720.92 | Symbole 12 5726.61 | Symbole 13 5701.48 | Symbole 14 5704.6 | Symbole 15 5657.11 | Symbole 16 5490.52 | Symbole 17 5702.66 | Symbole 18 5698.11 | Symbole 19 5701.6 | Symbole 2 5186.25 | Symbole 20 5689.75 | Symbole 21 5162.3 | Symbole 22 5681.61 | Symbole 23 5682.22 | Symbole 24 5664.5 | Symbole 3 5630.99 | Symbole 4 5326.7 | Symbole 5 5704.42 | Symbole 6 5640.95 | Symbole 7 4319.96 | Symbole 8 5710.74 | Symbole 9 5704.88 |  => 344.986 => Rectangle V
Component_2 =>Cercle 5660.19 | diode H 5696.76 | diode V 5113.87 | Rectangle H 5641.97 | Rectangle V 344.986 | Symbole 1 5701.25 | Symbole 10 5692 | Symbole 11 5720.92 | Symbole 12 5726.61 | Symbole 13 5701.48 | Symbole 14 5704.6 | Symbole 15 5657.11 | Symbole 16 5490.52 | Symbole 17 5702.66 | Symbole 18 5698.11 | Symbole 19 5701.6 | Symbole 2 5186.25 | Symbole 20 5689.75 | Symbole 21 5162.3 | Symbole 22 5681.61 | Symbole 23 5682.22 | Symbole 24 5664.5 | Symbole 3 5630.99 | Symbole 4 5326.7 | Symbole 5 5704.42 | Symbole 6 5640.95 | Symbole 7 4319.96 | Symbole 8 5710.74 | Symbole 9 5704.88 |  => 344.986 => Rectangle V
Component_3 =>Cercle 5660.19 | diode H 5696.76 | diode V 5113.87 | Rectangle H 5641.97 | Rectangle V 344.986 | Symbole 1 5701.25 | Symbole 10 5692 | Symbole 11 5720.92 | Symbole 12 5726.61 | Symbole 13 5701.48 | Symbole 14 5704.6 | Symbole 15 5657.11 | Symbole 16 5490.52 | Symbole 17 5702.66 | Symbole 18 5698.11 | Symbole 19 5701.6 | Symbole 2 5186.25 | Symbole 20 5689.75 | Symbole 21 5162.3 | Symbole 22 5681.61 | Symbole 23 5682.22 | Symbole 24 5664.5 | Symbole 3 5630.99 | Symbole 4 5326.7 | Symbole 5 5704.42 | Symbole 6 5640.95 | Symbole 7 4319.96 | Symbole 8 5710.74 | Symbole 9 5704.88 |  => 344.986 => Rectangle V
Component_4 =>Cercle 5660.19 | diode H 5696.76 | diode V 5113.87 | Rectangle H 5641.97 | Rectangle V 344.986 | Symbole 1 5701.25 | Symbole 10 5692 | Symbole 11 5720.92 | Symbole 12 5726.61 | Symbole 13 5701.48 | Symbole 14 5704.6 | Symbole 15 5657.11 | Symbole 16 5490.52 | Symbole 17 5702.66 | Symbole 18 5698.11 | Symbole 19 5701.6 | Symbole 2 5186.25 | Symbole 20 5689.75 | Symbole 21 5162.3 | Symbole 22 5681.61 | Symbole 23 5682.22 | Symbole 24 5664.5 | Symbole 3 5630.99 | Symbole 4 5326.7 | Symbole 5 5704.42 | Symbole 6 5640.95 | Symbole 7 4319.96 | Symbole 8 5710.74 | Symbole 9 5704.88 |  => 344.986 => Rectangle V
Component_5 =>Cercle 5660.19 | diode H 5696.76 | diode V 5113.87 | Rectangle H 5641.97 | Rectangle V 344.986 | Symbole 1 5701.25 | Symbole 10 5692 | Symbole 11 5720.92 | Symbole 12 5726.61 | Symbole 13 5701.48 | Symbole 14 5704.6 | Symbole 15 5657.11 | Symbole 16 5490.52 | Symbole 17 5702.66 | Symbole 18 5698.11 | Symbole 19 5701.6 | Symbole 2 5186.25 | Symbole 20 5689.75 | Symbole 21 5162.3 | Symbole 22 5681.61 | Symbole 23 5682.22 | Symbole 24 5664.5 | Symbole 3 5630.99 | Symbole 4 5326.7 | Symbole 5 5704.42 | Symbole 6 5640.95 | Symbole 7 4319.96 | Symbole 8 5710.74 | Symbole 9 5704.88 |  => 344.986 => Rectangle V
Component_6 =>Cercle 5660.19 | diode H 5696.76 | diode V 5113.87 | Rectangle H 5641.97 | Rectangle V 344.986 | Symbole 1 5701.25 | Symbole 10 5692 | Symbole 11 5720.92 | Symbole 12 5726.61 | Symbole 13 5701.48 | Symbole 14 5704.6 | Symbole 15 5657.11 | Symbole 16 5490.52 | Symbole 17 5702.66 | Symbole 18 5698.11 | Symbole 19 5701.6 | Symbole 2 5186.25 | Symbole 20 5689.75 | Symbole 21 5162.3 | Symbole 22 5681.61 | Symbole 23 5682.22 | Symbole 24 5664.5 | Symbole 3 5630.99 | Symbole 4 5326.7 | Symbole 5 5704.42 | Symbole 6 5640.95 | Symbole 7 4319.96 | Symbole 8 5710.74 | Symbole 9 5704.88 |  => 344.986 => Rectangle V
Component_7 =>Cercle 5660.19 | diode H 5696.76 | diode V 5113.87 | Rectangle H 5641.97 | Rectangle V 344.986 | Symbole 1 5701.25 | Symbole 10 5692 | Symbole 11 5720.92 | Symbole 12 5726.61 | Symbole 13 5701.48 | Symbole 14 5704.6 | Symbole 15 5657.11 | Symbole 16 5490.52 | Symbole 17 5702.66 | Symbole 18 5698.11 | Symbole 19 5701.6 | Symbole 2 5186.25 | Symbole 20 5689.75 | Symbole 21 5162.3 | Symbole 22 5681.61 | Symbole 23 5682.22 | Symbole 24 5664.5 | Symbole 3 5630.99 | Symbole 4 5326.7 | Symbole 5 5704.42 | Symbole 6 5640.95 | Symbole 7 4319.96 | Symbole 8 5710.74 | Symbole 9 5704.88 |  => 344.986 => Rectangle V
Component_8 =>Cercle 5660.19 | diode H 5696.76 | diode V 5113.87 | Rectangle H 5641.97 | Rectangle V 344.986 | Symbole 1 5701.25 | Symbole 10 5692 | Symbole 11 5720.92 | Symbole 12 5726.61 | Symbole 13 5701.48 | Symbole 14 5704.6 | Symbole 15 5657.11 | Symbole 16 5490.52 | Symbole 17 5702.66 | Symbole 18 5698.11 | Symbole 19 5701.6 | Symbole 2 5186.25 | Symbole 20 5689.75 | Symbole 21 5162.3 | Symbole 22 5681.61 | Symbole 23 5682.22 | Symbole 24 5664.5 | Symbole 3 5630.99 | Symbole 4 5326.7 | Symbole 5 5704.42 | Symbole 6 5640.95 | Symbole 7 4319.96 | Symbole 8 5710.74 | Symbole 9 5704.88 |  => 344.986 => Rectangle V
Component_9 =>Cercle 5660.19 | diode H 5696.76 | diode V 5113.87 | Rectangle H 5641.97 | Rectangle V 344.986 | Symbole 1 5701.25 | Symbole 10 5692 | Symbole 11 5720.92 | Symbole 12 5726.61 | Symbole 13 5701.48 | Symbole 14 5704.6 | Symbole 15 5657.11 | Symbole 16 5490.52 | Symbole 17 5702.66 | Symbole 18 5698.11 | Symbole 19 5701.6 | Symbole 2 5186.25 | Symbole 20 5689.75 | Symbole 21 5162.3 | Symbole 22 5681.61 | Symbole 23 5682.22 | Symbole 24 5664.5 | Symbole 3 5630.99 | Symbole 4 5326.7 | Symbole 5 5704.42 | Symbole 6 5640.95 | Symbole 7 4319.96 | Symbole 8 5710.74 | Symbole 9 5704.88 |  => 344.986 => Rectangle V
Component_10 =>Cercle 5660.19 | diode H 5696.76 | diode V 5113.87 | Rectangle H 5641.97 | Rectangle V 344.986 | Symbole 1 5701.25 | Symbole 10 5692 | Symbole 11 5720.92 | Symbole 12 5726.61 | Symbole 13 5701.48 | Symbole 14 5704.6 | Symbole 15 5657.11 | Symbole 16 5490.52 | Symbole 17 5702.66 | Symbole 18 5698.11 | Symbole 19 5701.6 | Symbole 2 5186.25 | Symbole 20 5689.75 | Symbole 21 5162.3 | Symbole 22 5681.61 | Symbole 23 5682.22 | Symbole 24 5664.5 | Symbole 3 5630.99 | Symbole 4 5326.7 | Symbole 5 5704.42 | Symbole 6 5640.95 | Symbole 7 4319.96 | Symbole 8 5710.74 | Symbole 9 5704.88 |  => 344.986 => Rectangle V
Component_11 =>Cercle 6.45089 | diode H 29.4406 | diode V 78.1537 | Rectangle H 1.13128e-05 | Rectangle V 78.1537 | Symbole 1 35.0554 | Symbole 10 25.4241 | Symbole 11 53.4973 | Symbole 12 58.9704 | Symbole 13 33.4878 | Symbole 14 37.5763 | Symbole 15 9.39165 | Symbole 16 78.1537 | Symbole 17 35.1992 | Symbole 18 30.7467 | Symbole 19 33.9185 | Symbole 2 78.1537 | Symbole 20 22.424 | Symbole 21 78.1537 | Symbole 22 13.6843 | Symbole 23 15.2256 | Symbole 24 7.89449 | Symbole 3 41.4227 | Symbole 4 6.21691 | Symbole 5 37.9818 | Symbole 6 8.61315 | Symbole 7 78.1537 | Symbole 8 44.373 | Symbole 9 38.1559 |  => 1.13128e-05 => Rectangle H
