numbre CCs detected (background including): 168
Component_1 =>Avion 5740 | Cercle 5590.9 | Demi Cercle 5665.58 | double fleche 5737.39 | fleche 5684.26 | Rectangle 3D 5718.98 | Rectangle H 5647.99 | Rectangle V 0 | Rectangle V Empty 5434.21 | Symbole 1 5588.84 | Symbole 2 5592.43 | Symbole 3 5593.56 | Symbole 4 5637.33 | Symbole 5 5740.66 | Symbole 6 5740.24 |  => 0 => Rectangle V
Component_2 =>Avion 5740 | Cercle 5590.9 | Demi Cercle 5665.58 | double fleche 5737.39 | fleche 5684.26 | Rectangle 3D 5718.98 | Rectangle H 5647.99 | Rectangle V 0 | Rectangle V Empty 5434.21 | Symbole 1 5588.84 | Symbole 2 5592.43 | Symbole 3 5593.56 | Symbole 4 5637.33 | Symbole 5 5740.66 | Symbole 6 5740.24 |  => 0 => Rectangle V
Component_3 =>Avion 5740 | Cercle 5590.9 | Demi Cercle 5665.58 | double fleche 5737.39 | fleche 5684.26 | Rectangle 3D 5718.98 | Rectangle H 5647.99 | Rectangle V 0 | Rectangle V Empty 5434.21 | Symbole 1 5588.84 | Symbole 2 5592.43 | Symbole 3 5593.56 | Symbole 4 5637.33 | Symbole 5 5740.66 | Symbole 6 5740.24 |  => 0 => Rectangle V
Component_4 =>Avion 5740 | Cercle 5590.9 | Demi Cercle 5665.58 | double fleche 5737.39 | fleche 5684.26 | Rectangle 3D 5718.98 | Rectangle H 5647.99 | Rectangle V 0 | Rectangle V Empty 5434.21 | Symbole 1 5588.84 | Symbole 2 5592.43 | Symbole 3 5593.56 | Symbole 4 5637.33 | Symbole 5 5740.66 | Symbole 6 5740.24 |  => 0 => Rectangle V
Component_5 =>Avion 5740 | Cercle 5590.9 | Demi Cercle 5665.58 | double fleche 5737.39 | fleche 5684.26 | Rectangle 3D 5718.98 | Rectangle H 5647.99 | Rectangle V 0 | Rectangle V Empty 5434.21 | Symbole 1 5588.84 | Symbole 2 5592.43 | Symbole 3 5593.56 | Symbole 4 5637.33 | Symbole 5 5740.66 | Symbole 6 5740.24 |  => 0 => Rectangle V
Component_6 =>Avion 5740 | Cercle 5590.9 | Demi Cercle 5665.58 | double fleche 5737.39 | fleche 5684.26 | Rectangle 3D 5718.98 | Rectangle H 5647.99 | Rectangle V 0 | Rectangle V Empty 5434.21 | Symbole 1 5588.84 | Symbole 2 5592.43 | Symbole 3 5593.56 | Symbole 4 5637.33 | Symbole 5 5740.66 | Symbole 6 5740.24 |  => 0 => Rectangle V
Component_7 =>Avion 5740 | Cercle 5590.9 | Demi Cercle 5665.58 | double fleche 5737.39 | fleche 5684.26 | Rectangle 3D 5718.98 | Rectangle H 5647.99 | Rectangle V 0 | Rectangle V Empty 5434.21 | Symbole 1 5588.84 | Symbole 2 5592.43 | Symbole 3 5593.56 | Symbole 4 5637.33 | Symbole 5 5740.66 | Symbole 6 5740.24 |  => 0 => Rectangle V
Component_8 =>Avion 5740 | Cercle 5590.9 | Demi Cercle 5665.58 | double fleche 5737.39 | fleche 5684.26 | Rectangle 3D 5718.98 | Rectangle H 5647.99 | Rectangle V 0 | Rectangle V Empty 5434.21 | Symbole 1 5588.84 | Symbole 2 5592.43 | Symbole 3 5593.56 | Symbole 4 5637.33 | Symbole 5 5740.66 | Symbole 6 5740.24 |  => 0 => Rectangle V
Component_9 =>Avion 5740 | Cercle 5590.9 | Demi Cercle 5665.58 | double fleche 5737.39 | fleche 5684.26 | Rectangle 3D 5718.98 | Rectangle H 5647.99 | Rectangle V 0 | Rectangle V Empty 5434.21 | Symbole 1 5588.84 | Symbole 2 5592.43 | Symbole 3 5593.56 | Symbole 4 5637.33 | Symbole 5 5740.66 | Symbole 6 5740.24 |  => 0 => Rectangle V
Component_10 =>Avion 5740 | Cercle 5590.9 | Demi Cercle 5665.58 | double fleche 5737.39 | fleche 5684.26 | Rectangle 3D 5718.98 | Rectangle H 5647.99 | Rectangle V 0 | Rectangle V Empty 5434.21 | Symbole 1 5588.84 | Symbole 2 5592.43 | Symbole 3 5593.56 | Symbole 4 5637.33 | Symbole 5 5740.66 | Symbole 6 5740.24 |  => 0 => Rectangle V
Component_11 =>Avion 72.7804 | Cercle 8.50882 | Demi Cercle 8.7518 | double fleche 69.2759 | fleche 17.0048 | Rectangle 3D 51.4668 | Rectangle H 0 | Rectangle V 78.1537 | Rectangle V Empty 24.836 | Symbole 1 69.1879 | Symbole 2 76.0633 | Symbole 3 42.2102 | Symbole 4 17.2657 | Symbole 5 74.7333 | Symbole 6 73.6136 |  => 0 => Rectangle H
