numbre CCs detected (background including): 149
Component_1 =>Rectangle H 4.22877 | Rectangle V 50.6135 | Symbole 1 39.2404 | Symbole 10 0 | Symbole 11 40.6239 | Symbole 2 36.3652 | Symbole 3 40.3928 | Symbole 4 41.5332 | Symbole 5 23.8122 | Symbole 6 40.5615 | Symbole 7 26.9553 | Symbole 8 45.3834 | Symbole 9 50.6135 |  => 0 => Symbole 10
Component_2 =>Rectangle H 50.6135 | Rectangle V 0 | Symbole 1 10330.7 | Symbole 10 10293.7 | Symbole 11 10331.1 | Symbole 2 10327 | Symbole 3 10329.7 | Symbole 4 10332 | Symbole 5 10314.8 | Symbole 6 10331.6 | Symbole 7 10318.5 | Symbole 8 10335.9 | Symbole 9 9034.96 |  => 0 => Rectangle V
Component_3 =>Rectangle H 9034.96 | Rectangle V 0 | Symbole 1 10330.7 | Symbole 10 10293.7 | Symbole 11 10331.1 | Symbole 2 10327 | Symbole 3 10329.7 | Symbole 4 10332 | Symbole 5 10314.8 | Symbole 6 10331.6 | Symbole 7 10318.5 | Symbole 8 10335.9 | Symbole 9 9034.96 |  => 0 => Rectangle V
Component_4 =>Rectangle H 9034.96 | Rectangle V 0 | Symbole 1 10330.7 | Symbole 10 10293.7 | Symbole 11 10331.1 | Symbole 2 10327 | Symbole 3 10329.7 | Symbole 4 10332 | Symbole 5 10314.8 | Symbole 6 10331.6 | Symbole 7 10318.5 | Symbole 8 10335.9 | Symbole 9 9034.96 |  => 0 => Rectangle V
Component_5 =>Rectangle H 9034.96 | Rectangle V 0 | Symbole 1 10330.7 | Symbole 10 10293.7 | Symbole 11 10331.1 | Symbole 2 10327 | Symbole 3 10329.7 | Symbole 4 10332 | Symbole 5 10314.8 | Symbole 6 10331.6 | Symbole 7 10318.5 | Symbole 8 10335.9 | Symbole 9 9034.96 |  => 0 => Rectangle V
Component_6 =>Rectangle H 9034.96 | Rectangle V 0 | Symbole 1 10330.7 | Symbole 10 10293.7 | Symbole 11 10331.1 | Symbole 2 10327 | Symbole 3 10329.7 | Symbole 4 10332 | Symbole 5 10314.8 | Symbole 6 10331.6 | Symbole 7 10318.5 | Symbole 8 10335.9 | Symbole 9 9034.96 |  => 0 => Rectangle V
Component_7 =>Rectangle H 9034.96 | Rectangle V 0 | Symbole 1 10330.7 | Symbole 10 10293.7 | Symbole 11 10331.1 | Symbole 2 10327 | Symbole 3 10329.7 | Symbole 4 10332 | Symbole 5 10314.8 | Symbole 6 10331.6 | Symbole 7 10318.5 | Symbole 8 10335.9 | Symbole 9 9034.96 |  => 0 => Rectangle V
Component_8 =>Rectangle H 9034.96 | Rectangle V 0 | Symbole 1 10330.7 | Symbole 10 10293.7 | Symbole 11 10331.1 | Symbole 2 10327 | Symbole 3 10329.7 | Symbole 4 10332 | Symbole 5 10314.8 | Symbole 6 10331.6 | Symbole 7 10318.5 | Symbole 8 10335.9 | Symbole 9 9034.96 |  => 0 => Rectangle V
Component_9 =>Rectangle H 9034.96 | Rectangle V 0 | Symbole 1 10330.7 | Symbole 10 10293.7 | Symbole 11 10331.1 | Symbole 2 10327 | Symbole 3 10329.7 | Symbole 4 10332 | Symbole 5 10314.8 | Symbole 6 10331.6 | Symbole 7 10318.5 | Symbole 8 10335.9 | Symbole 9 9034.96 |  => 0 => Rectangle V
Component_10 =>Rectangle H 9034.96 | Rectangle V 0 | Symbole 1 10330.7 | Symbole 10 10293.7 | Symbole 11 10331.1 | Symbole 2 10327 | Symbole 3 10329.7 | Symbole 4 10332 | Symbole 5 10314.8 | Symbole 6 10331.6 | Symbole 7 10318.5 | Symbole 8 10335.9 | Symbole 9 9034.96 |  => 0 => Rectangle V
Component_11 =>Rectangle H 0 | Rectangle V 54.1176 | Symbole 1 45.692 | Symbole 10 9.61625 | Symbole 11 46.1842 | Symbole 2 42.7996 | Symbole 3 46.1441 | Symbole 4 47.5032 | Symbole 5 29.9445 | Symbole 6 47.7091 | Symbole 7 33.0713 | Symbole 8 51.1332 | Symbole 9 54.1176 |  => 0 => Rectangle H
