composant_1 =>A 46.3897 | B 82.6901 | C 104.245 | Cercle 51.2341 | D 138.558 | E 34.498 | F 133.824 | G 99.0366 | H 45.7981 | I 131.778 | J 122.09 | K 110.223 | L 52.6344 | M 93.6212 | N 79.6199 | O 131.199 | P 77.0459 | Q 78.4807 | R 122.303 | Ractangle V Empty 138.558 | Rectangle H 39.7016 | Rectangle V 138.558 |  => 34.498 => E
composant_2 =>A 46.3897 | B 82.6901 | C 104.245 | Cercle 51.2341 | D 138.558 | E 34.498 | F 133.824 | G 99.0366 | H 45.7981 | I 131.778 | J 122.09 | K 110.223 | L 52.6344 | M 93.6212 | N 79.6199 | O 131.199 | P 77.0459 | Q 78.4807 | R 122.303 | Ractangle V Empty 138.558 | Rectangle H 39.7016 | Rectangle V 138.558 |  => 34.498 => E
composant_3 =>A 19.307 | B 19.307 | C 19.307 | Cercle 19.307 | D 19.307 | E 19.307 | F 15.4377 | G 19.307 | H 19.307 | I 13.5995 | J 0.790125 | K 15.8708 | L 19.307 | M 19.307 | N 19.307 | O 12.729 | P 19.307 | Q 19.307 | R 5.89913 | Ractangle V Empty 19.307 | Rectangle H 19.307 | Rectangle V 19.307 |  => 0.790125 => J
composant_4 =>A 19.307 | B 57.1251 | C 113.249 | Cercle 25.8505 | D 113.249 | E 9.1481 | F 108.836 | G 73.1367 | H 20.3504 | I 106.736 | J 96.6002 | K 85.09 | L 78.1844 | M 68.3019 | N 54.3738 | O 105.825 | P 51.9052 | Q 53.1015 | R 97.1372 | Ractangle V Empty 113.249 | Rectangle H 14.6434 | Rectangle V 113.249 |  => 9.1481 => E
composant_5 =>A 20.8586 | B 56.8553 | C 112.939 | Cercle 25.524 | D 112.939 | E 8.81045 | F 108.517 | G 72.8137 | H 20.0776 | I 106.454 | J 96.2846 | K 84.8636 | L 78.5228 | M 68.006 | N 54.0931 | O 105.474 | P 51.6192 | Q 52.8053 | R 96.859 | Ractangle V Empty 112.939 | Rectangle H 14.335 | Rectangle V 112.939 |  => 8.81045 => E
composant_6 =>A 21.1485 | B 57.1237 | C 113.249 | Cercle 25.8502 | D 113.249 | E 9.15099 | F 108.838 | G 73.1378 | H 20.3478 | I 106.736 | J 96.6015 | K 85.0873 | L 78.1816 | M 68.3019 | N 54.375 | O 105.826 | P 51.906 | Q 53.104 | R 97.1377 | Ractangle V Empty 113.249 | Rectangle H 14.6449 | Rectangle V 113.249 |  => 9.15099 => E
composant_7 =>A 21.1485 | B 57.1237 | C 113.249 | Cercle 25.8502 | D 113.249 | E 9.15099 | F 108.838 | G 73.1378 | H 20.3478 | I 106.736 | J 96.6015 | K 85.0873 | L 78.1816 | M 68.3019 | N 54.375 | O 105.826 | P 51.906 | Q 53.104 | R 97.1377 | Ractangle V Empty 113.249 | Rectangle H 14.6449 | Rectangle V 113.249 |  => 9.15099 => E
composant_8 =>A 17.6361 | B 53.7131 | C 109.894 | Cercle 22.4733 | D 109.894 | E 5.8022 | F 105.459 | G 69.7662 | H 16.9729 | I 103.339 | J 93.1311 | K 81.6842 | L 81.5716 | M 64.8947 | N 51.0234 | O 102.423 | P 48.4857 | Q 49.6549 | R 93.693 | Ractangle V Empty 109.894 | Rectangle H 11.2983 | Rectangle V 109.894 |  => 5.8022 => E
composant_9 =>A 34.5592 | B 4.37603 | C 61.4126 | Cercle 34.512 | D 61.4126 | E 48.1892 | F 56.8446 | G 20.6488 | H 37.7222 | I 54.5079 | J 42.6457 | K 32.7717 | L 61.4126 | M 15.6489 | N 4.85404 | O 53.5089 | P 5.11815 | Q 2.3403 | R 44.327 | Ractangle V Empty 61.4126 | Rectangle H 30.6446 | Rectangle V 61.4126 |  => 2.3403 => Q
composant_10 =>A 37.8684 | B 2.39267 | C 56.4459 | Cercle 37.2024 | D 56.4459 | E 50.9046 | F 52.7562 | G 17.6853 | H 40.0909 | I 50.5844 | J 40.3805 | K 29.0596 | L 56.4459 | M 11.9326 | N 7.15122 | O 49.835 | P 6.30261 | Q 7.53331 | R 41.1714 | Ractangle V Empty 56.4459 | Rectangle H 26.1016 | Rectangle V 56.4459 |  => 2.39267 => B
composant_11 =>A 12.571 | B 27.1357 | C 83.0752 | Cercle 12.2224 | D 83.0752 | E 23.94 | F 78.3739 | G 43.371 | H 13.0284 | I 76.0422 | J 66.9917 | K 54.2879 | L 83.0752 | M 37.3734 | N 23.5174 | O 74.9982 | P 21.4717 | Q 23.1713 | R 66.5696 | Ractangle V Empty 83.0752 | Rectangle H 19.6993 | Rectangle V 83.0752 |  => 12.2224 => Cercle
