nombre CCs detecte : 168
composant_1 =>Avion 5740 | Cercle 5590.9 | Demi Cercle 5665.58 | double fleche 5737.39 | fleche 5684.26 | Rectangle 3D 5718.98 | Rectangle H 5647.99 | Rectangle V 8.1826e-06 | Rectangle V Empty 5434.21 | S 5588.84 | U 5592.43 | X 5593.56 | Z 5637.33 |  => 8.1826e-06 => Rectangle V
composant_2 =>Avion 5637.33 | Cercle 5590.9 | Demi Cercle 5665.58 | double fleche 5737.39 | fleche 5684.26 | Rectangle 3D 5718.98 | Rectangle H 5647.99 | Rectangle V 8.1826e-06 | Rectangle V Empty 5434.21 | S 5588.84 | U 5592.43 | X 5593.56 | Z 5637.33 |  => 8.1826e-06 => Rectangle V
composant_3 =>Avion 5637.33 | Cercle 5590.9 | Demi Cercle 5665.58 | double fleche 5737.39 | fleche 5684.26 | Rectangle 3D 5718.98 | Rectangle H 5647.99 | Rectangle V 8.1826e-06 | Rectangle V Empty 5434.21 | S 5588.84 | U 5592.43 | X 5593.56 | Z 5637.33 |  => 8.1826e-06 => Rectangle V
composant_4 =>Avion 5637.33 | Cercle 5590.9 | Demi Cercle 5665.58 | double fleche 5737.39 | fleche 5684.26 | Rectangle 3D 5718.98 | Rectangle H 5647.99 | Rectangle V 8.1826e-06 | Rectangle V Empty 5434.21 | S 5588.84 | U 5592.43 | X 5593.56 | Z 5637.33 |  => 8.1826e-06 => Rectangle V
composant_5 =>Avion 5637.33 | Cercle 5590.9 | Demi Cercle 5665.58 | double fleche 5737.39 | fleche 5684.26 | Rectangle 3D 5718.98 | Rectangle H 5647.99 | Rectangle V 8.1826e-06 | Rectangle V Empty 5434.21 | S 5588.84 | U 5592.43 | X 5593.56 | Z 5637.33 |  => 8.1826e-06 => Rectangle V
composant_6 =>Avion 5637.33 | Cercle 5590.9 | Demi Cercle 5665.58 | double fleche 5737.39 | fleche 5684.26 | Rectangle 3D 5718.98 | Rectangle H 5647.99 | Rectangle V 8.1826e-06 | Rectangle V Empty 5434.21 | S 5588.84 | U 5592.43 | X 5593.56 | Z 5637.33 |  => 8.1826e-06 => Rectangle V
composant_7 =>Avion 5637.33 | Cercle 5590.9 | Demi Cercle 5665.58 | double fleche 5737.39 | fleche 5684.26 | Rectangle 3D 5718.98 | Rectangle H 5647.99 | Rectangle V 8.1826e-06 | Rectangle V Empty 5434.21 | S 5588.84 | U 5592.43 | X 5593.56 | Z 5637.33 |  => 8.1826e-06 => Rectangle V
composant_8 =>Avion 5637.33 | Cercle 5590.9 | Demi Cercle 5665.58 | double fleche 5737.39 | fleche 5684.26 | Rectangle 3D 5718.98 | Rectangle H 5647.99 | Rectangle V 8.1826e-06 | Rectangle V Empty 5434.21 | S 5588.84 | U 5592.43 | X 5593.56 | Z 5637.33 |  => 8.1826e-06 => Rectangle V
composant_9 =>Avion 5637.33 | Cercle 5590.9 | Demi Cercle 5665.58 | double fleche 5737.39 | fleche 5684.26 | Rectangle 3D 5718.98 | Rectangle H 5647.99 | Rectangle V 8.1826e-06 | Rectangle V Empty 5434.21 | S 5588.84 | U 5592.43 | X 5593.56 | Z 5637.33 |  => 8.1826e-06 => Rectangle V
composant_10 =>Avion 5637.33 | Cercle 5590.9 | Demi Cercle 5665.58 | double fleche 5737.39 | fleche 5684.26 | Rectangle 3D 5718.98 | Rectangle H 5647.99 | Rectangle V 8.1826e-06 | Rectangle V Empty 5434.21 | S 5588.84 | U 5592.43 | X 5593.56 | Z 5637.33 |  => 8.1826e-06 => Rectangle V
composant_11 =>Avion 72.7804 | Cercle 8.50882 | Demi Cercle 8.7518 | double fleche 69.2759 | fleche 17.0048 | Rectangle 3D 51.4668 | Rectangle H 1.13128e-05 | Rectangle V 78.1537 | Rectangle V Empty 24.8359 | S 69.1879 | U 76.0633 | X 42.2102 | Z 17.2657 |  => 1.13128e-05 => Rectangle H
composant_12 =>Avion 0.0302821 | Cercle 7.32211 | Demi Cercle 7.32211 | double fleche 5.71445 | fleche 7.32211 | Rectangle 3D 7.32211 | Rectangle H 7.32211 | Rectangle V 7.32211 | Rectangle V Empty 7.32211 | S 7.32211 | U 7.32211 | X 7.32211 | Z 7.32211 |  => 0.0302821 => Avion
composant_13 =>Avion 7.32211 | Cercle 2.64641 | Demi Cercle 79.5145 | double fleche 151.407 | fleche 98.2004 | Rectangle 3D 132.054 | Rectangle H 62.4053 | Rectangle V 157.945 | Rectangle V Empty 60.3674 | S 0.255183 | U 6.44258 | X 6.69975 | Z 51.1185 |  => 0.255183 => S
